#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BCL2	PARP1	9606.ENSP00000381185	9606.ENSP00000355759	0	0	0	0	0	0.379	0	0.249	0.514
BCL2	CHUK	9606.ENSP00000381185	9606.ENSP00000359424	0	0	0	0	0	0.379	0	0.113	0.425
BCL2	IKBKB	9606.ENSP00000381185	9606.ENSP00000430684	0	0	0	0	0	0.379	0	0.129	0.435
BCL2	IKBKG	9606.ENSP00000381185	9606.ENSP00000483825	0	0	0	0	0	0.860	0	0.064	0.863
BCL2A1	TNFRSF1A	9606.ENSP00000267953	9606.ENSP00000162749	0	0	0	0	0.061	0	0	0.440	0.451
BCL2A1	NFKBIA	9606.ENSP00000267953	9606.ENSP00000216797	0	0	0	0	0.118	0.185	0	0.421	0.547
BCL2A1	RELB	9606.ENSP00000267953	9606.ENSP00000221452	0	0	0	0	0.144	0	0	0.373	0.440
BCL2A1	NFKB1	9606.ENSP00000267953	9606.ENSP00000226574	0	0	0	0	0.135	0.185	0.900	0.330	0.946
BCL2A1	TICAM1	9606.ENSP00000267953	9606.ENSP00000248244	0	0	0	0	0.098	0.157	0	0.296	0.418
BCL2A1	IL1B	9606.ENSP00000267953	9606.ENSP00000263341	0	0	0	0	0.436	0	0	0.297	0.586
BCL2A1	BIRC3	9606.ENSP00000267953	9606.ENSP00000263464	0	0	0	0	0.185	0.083	0	0.666	0.729
BCL2A1	ICAM1	9606.ENSP00000267953	9606.ENSP00000264832	0	0	0	0	0.175	0	0	0.319	0.414
BCL2A1	TRADD	9606.ENSP00000267953	9606.ENSP00000341268	0	0	0	0	0.088	0	0	0.389	0.418
BCL2A1	CD40LG	9606.ENSP00000267953	9606.ENSP00000359663	0	0	0	0	0.097	0	0	0.412	0.446
BCL2A1	PTGS2	9606.ENSP00000267953	9606.ENSP00000356438	0	0	0	0	0.180	0	0	0.355	0.448
BCL2A1	TLR4	9606.ENSP00000267953	9606.ENSP00000363089	0	0	0	0	0.253	0	0	0.295	0.450
BCL2A1	BTK	9606.ENSP00000267953	9606.ENSP00000483570	0	0	0	0	0.334	0	0	0.210	0.451
BCL2A1	CCL4	9606.ENSP00000267953	9606.ENSP00000482259	0	0	0	0	0.362	0	0	0.224	0.484
BCL2A1	NFKB2	9606.ENSP00000267953	9606.ENSP00000358983	0	0	0	0	0.114	0.185	0	0.348	0.488
BCL2A1	CD40	9606.ENSP00000267953	9606.ENSP00000361359	0	0	0	0	0.132	0	0	0.440	0.493
BCL2A1	TNFAIP3	9606.ENSP00000267953	9606.ENSP00000481570	0	0	0	0	0.230	0	0	0.415	0.530
BCL2A1	CXCL8	9606.ENSP00000267953	9606.ENSP00000306512	0	0	0	0	0.349	0	0	0.400	0.593
BCL2A1	BIRC2	9606.ENSP00000267953	9606.ENSP00000477613	0	0	0	0	0	0.083	0	0.577	0.595
BCL2A1	TRAF1	9606.ENSP00000267953	9606.ENSP00000362994	0	0	0	0	0.230	0	0	0.570	0.655
BCL2A1	TNF	9606.ENSP00000267953	9606.ENSP00000398698	0	0	0	0	0.347	0.157	0	0.491	0.695
BCL2A1	BCL2L1	9606.ENSP00000267953	9606.ENSP00000302564	0	0	0	0.651	0	0	0.900	0.787	0.927
BCL2A1	RELA	9606.ENSP00000267953	9606.ENSP00000384273	0	0	0	0	0	0	0.900	0.443	0.941
BCL2L1	TNFRSF1A	9606.ENSP00000302564	9606.ENSP00000162749	0	0	0	0	0	0	0	0.647	0.647
BCL2L1	NFKBIA	9606.ENSP00000302564	9606.ENSP00000216797	0	0	0	0	0.061	0.185	0	0.550	0.625
BCL2L1	RELB	9606.ENSP00000302564	9606.ENSP00000221452	0	0	0	0	0.063	0	0	0.736	0.743
BCL2L1	NFKB1	9606.ENSP00000302564	9606.ENSP00000226574	0	0	0	0	0	0.185	0	0.453	0.535
BCL2L1	RIPK1	9606.ENSP00000302564	9606.ENSP00000259808	0	0	0	0	0	0	0	0.473	0.473
BCL2L1	IL1B	9606.ENSP00000302564	9606.ENSP00000263341	0	0	0	0	0.053	0	0	0.430	0.437
BCL2L1	BIRC3	9606.ENSP00000302564	9606.ENSP00000263464	0	0	0	0	0	0.083	0	0.722	0.734
BCL2L1	ICAM1	9606.ENSP00000302564	9606.ENSP00000264832	0	0	0	0	0	0	0	0.478	0.478
BCL2L1	TNFRSF13C	9606.ENSP00000302564	9606.ENSP00000291232	0	0	0	0	0.057	0	0	0.450	0.459
BCL2L1	LYN	9606.ENSP00000302564	9606.ENSP00000428924	0	0	0	0	0	0	0	0.400	0.400
BCL2L1	SYK	9606.ENSP00000302564	9606.ENSP00000364907	0	0	0	0	0	0	0	0.424	0.424
BCL2L1	CXCL12	9606.ENSP00000302564	9606.ENSP00000379140	0	0	0	0	0	0	0	0.424	0.424
BCL2L1	PIDD1	9606.ENSP00000302564	9606.ENSP00000337797	0	0	0	0	0	0.185	0	0.329	0.430
BCL2L1	LCK	9606.ENSP00000302564	9606.ENSP00000337825	0	0	0	0	0	0	0	0.452	0.452
BCL2L1	TLR4	9606.ENSP00000302564	9606.ENSP00000363089	0	0	0	0	0	0	0	0.457	0.457
BCL2L1	IKBKB	9606.ENSP00000302564	9606.ENSP00000430684	0	0	0	0	0	0	0	0.458	0.457
BCL2L1	IKBKG	9606.ENSP00000302564	9606.ENSP00000483825	0	0	0	0	0.069	0	0	0.457	0.472
BCL2L1	TNFSF13B	9606.ENSP00000302564	9606.ENSP00000365048	0	0	0	0	0.052	0	0	0.473	0.479
BCL2L1	GADD45A	9606.ENSP00000302564	9606.ENSP00000360025	0	0	0	0	0	0	0	0.479	0.479
BCL2L1	MYD88	9606.ENSP00000302564	9606.ENSP00000401399	0	0	0	0	0	0.195	0	0.400	0.496
BCL2L1	CD40LG	9606.ENSP00000302564	9606.ENSP00000359663	0	0	0	0	0	0	0	0.534	0.534
BCL2L1	BTK	9606.ENSP00000302564	9606.ENSP00000483570	0	0	0	0	0	0	0	0.534	0.534
BCL2L1	TRAF1	9606.ENSP00000302564	9606.ENSP00000362994	0	0	0	0	0.059	0	0	0.557	0.565
BCL2L1	TRADD	9606.ENSP00000302564	9606.ENSP00000341268	0	0	0	0	0.092	0	0	0.556	0.579
BCL2L1	PTGS2	9606.ENSP00000302564	9606.ENSP00000356438	0	0	0	0	0	0	0	0.580	0.580
BCL2L1	NFKB2	9606.ENSP00000302564	9606.ENSP00000358983	0	0	0	0	0	0.185	0	0.510	0.583
BCL2L1	TNFSF11	9606.ENSP00000302564	9606.ENSP00000381775	0	0	0	0	0	0	0	0.597	0.597
BCL2L1	PARP1	9606.ENSP00000302564	9606.ENSP00000355759	0	0	0	0	0	0	0	0.611	0.611
BCL2L1	CXCL8	9606.ENSP00000302564	9606.ENSP00000306512	0	0	0	0	0	0	0	0.719	0.719
BCL2L1	CD40	9606.ENSP00000302564	9606.ENSP00000361359	0	0	0	0	0.052	0	0	0.738	0.741
BCL2L1	BIRC2	9606.ENSP00000302564	9606.ENSP00000477613	0	0	0	0	0	0.083	0	0.740	0.751
BCL2L1	RELA	9606.ENSP00000302564	9606.ENSP00000384273	0	0	0	0	0.082	0.336	0	0.630	0.754
BCL2L1	TNF	9606.ENSP00000302564	9606.ENSP00000398698	0	0	0	0	0	0.157	0	0.809	0.833
BIRC2	TNFRSF1A	9606.ENSP00000477613	9606.ENSP00000162749	0	0	0	0	0.049	0.412	0.900	0.701	0.981
BIRC2	TAB1	9606.ENSP00000477613	9606.ENSP00000216160	0	0	0	0	0	0.109	0.900	0.538	0.955
BIRC2	NFKBIA	9606.ENSP00000477613	9606.ENSP00000216797	0	0	0	0	0.064	0.131	0	0.618	0.662
BIRC2	RELB	9606.ENSP00000477613	9606.ENSP00000221452	0	0	0	0	0.062	0	0	0.604	0.612
BIRC2	NFKB1	9606.ENSP00000477613	9606.ENSP00000226574	0	0	0	0	0.061	0.061	0	0.625	0.641
BIRC2	TRAF2	9606.ENSP00000477613	9606.ENSP00000247668	0	0	0	0	0.063	0.880	0.900	0.780	0.997
BIRC2	TICAM1	9606.ENSP00000477613	9606.ENSP00000248244	0	0	0	0	0	0	0.900	0.140	0.910
BIRC2	RIPK1	9606.ENSP00000477613	9606.ENSP00000259808	0	0	0	0	0	0.466	0.900	0.828	0.990
BIRC2	TRAF5	9606.ENSP00000477613	9606.ENSP00000261464	0	0	0	0	0.055	0.110	0.800	0.644	0.932
BIRC2	BIRC3	9606.ENSP00000477613	9606.ENSP00000263464	0	0	0	0.976	0.143	0.313	0.900	0.865	0.937
BIRC2	LY96	9606.ENSP00000477613	9606.ENSP00000284818	0	0	0	0	0	0	0.900	0.069	0.902
BIRC2	TNFRSF13C	9606.ENSP00000477613	9606.ENSP00000291232	0	0	0	0	0.061	0	0.900	0.430	0.941
BIRC2	CD14	9606.ENSP00000477613	9606.ENSP00000304236	0	0	0	0	0.062	0	0.900	0	0.902
BIRC2	CXCL8	9606.ENSP00000477613	9606.ENSP00000306512	0	0	0	0	0.049	0	0	0.398	0.403
BIRC2	MALT1	9606.ENSP00000477613	9606.ENSP00000319279	0	0	0	0	0.062	0	0	0.471	0.482
BIRC2	TRADD	9606.ENSP00000477613	9606.ENSP00000341268	0	0	0	0	0	0.336	0.900	0.718	0.979
BIRC2	TAB2	9606.ENSP00000477613	9606.ENSP00000356426	0	0	0	0	0.062	0.051	0.900	0.730	0.972
BIRC2	MAP3K7	9606.ENSP00000477613	9606.ENSP00000358335	0	0	0	0	0.062	0.742	0.900	0.444	0.984
BIRC2	NFKB2	9606.ENSP00000477613	9606.ENSP00000358983	0	0	0	0	0.062	0.378	0	0.747	0.839
BIRC2	IRAK1	9606.ENSP00000477613	9606.ENSP00000358997	0	0	0	0	0	0.108	0	0.420	0.461
BIRC2	CHUK	9606.ENSP00000477613	9606.ENSP00000359424	0	0	0	0	0.096	0.108	0.900	0.562	0.959
BIRC2	CD40LG	9606.ENSP00000477613	9606.ENSP00000359663	0	0	0	0	0	0.305	0.900	0.415	0.955
BIRC2	CD40	9606.ENSP00000477613	9606.ENSP00000361359	0	0	0	0	0.063	0.703	0.900	0.527	0.985
BIRC2	TRAF1	9606.ENSP00000477613	9606.ENSP00000362994	0	0	0	0	0.064	0.677	0.900	0.702	0.989
BIRC2	TLR4	9606.ENSP00000477613	9606.ENSP00000363089	0	0	0	0	0.051	0.742	0.900	0.400	0.983
BIRC2	TNFSF13B	9606.ENSP00000477613	9606.ENSP00000365048	0	0	0	0	0.053	0	0.900	0.438	0.942
BIRC2	TAB3	9606.ENSP00000477613	9606.ENSP00000368215	0	0	0	0	0.061	0	0.900	0.552	0.954
BIRC2	TNFSF11	9606.ENSP00000477613	9606.ENSP00000381775	0	0	0	0	0	0	0.900	0.272	0.924
BIRC2	RELA	9606.ENSP00000477613	9606.ENSP00000384273	0	0	0	0	0	0.336	0.900	0.593	0.970
BIRC2	CYLD	9606.ENSP00000477613	9606.ENSP00000392025	0	0	0	0	0.061	0	0.900	0.675	0.966
BIRC2	TNF	9606.ENSP00000477613	9606.ENSP00000398698	0	0	0	0	0.063	0.860	0.900	0.777	0.996
BIRC2	MYD88	9606.ENSP00000477613	9606.ENSP00000401399	0	0	0	0	0.056	0.742	0	0.441	0.852
BIRC2	LTA	9606.ENSP00000477613	9606.ENSP00000403495	0	0	0	0	0.063	0.294	0.900	0.098	0.932
BIRC2	LTB	9606.ENSP00000477613	9606.ENSP00000410481	0	0	0	0	0	0	0.900	0.059	0.901
BIRC2	TICAM2	9606.ENSP00000477613	9606.ENSP00000415139	0	0	0	0	0	0	0.900	0.094	0.905
BIRC2	IKBKB	9606.ENSP00000477613	9606.ENSP00000430684	0	0	0	0	0.052	0.108	0.900	0.593	0.961
BIRC2	TRAF3	9606.ENSP00000477613	9606.ENSP00000454207	0	0	0	0	0	0.706	0.900	0.821	0.994
BIRC2	TNFRSF11A	9606.ENSP00000477613	9606.ENSP00000465500	0	0	0	0	0	0	0.900	0.197	0.916
BIRC2	TNFSF14	9606.ENSP00000477613	9606.ENSP00000469049	0	0	0	0	0	0.328	0.900	0.171	0.939
BIRC2	TNFAIP3	9606.ENSP00000477613	9606.ENSP00000481570	0	0	0	0	0.058	0.294	0.900	0.416	0.956
BIRC2	MAP3K14	9606.ENSP00000477613	9606.ENSP00000482657	0	0	0	0	0.052	0.454	0.900	0.378	0.963
BIRC2	IKBKG	9606.ENSP00000477613	9606.ENSP00000483825	0	0	0	0	0	0.379	0.900	0.785	0.985
BIRC3	TNFRSF1A	9606.ENSP00000263464	9606.ENSP00000162749	0	0	0	0	0.061	0.412	0.900	0.616	0.976
BIRC3	TAB1	9606.ENSP00000263464	9606.ENSP00000216160	0	0	0	0	0	0.410	0.900	0.392	0.961
BIRC3	NFKBIA	9606.ENSP00000263464	9606.ENSP00000216797	0	0	0	0	0.159	0.061	0	0.695	0.738
BIRC3	RELB	9606.ENSP00000263464	9606.ENSP00000221452	0	0	0	0	0.159	0	0	0.748	0.780
BIRC3	NFKB1	9606.ENSP00000263464	9606.ENSP00000226574	0	0	0	0	0.123	0.693	0	0.748	0.926
BIRC3	TRAF2	9606.ENSP00000263464	9606.ENSP00000247668	0	0	0	0	0.063	0.974	0.900	0.757	0.999
BIRC3	TICAM1	9606.ENSP00000263464	9606.ENSP00000248244	0	0	0	0	0.076	0	0.900	0.111	0.910
BIRC3	RIPK1	9606.ENSP00000263464	9606.ENSP00000259808	0	0	0	0	0.059	0.429	0.900	0.785	0.986
BIRC3	TRAF5	9606.ENSP00000263464	9606.ENSP00000261464	0	0	0	0	0.061	0.110	0.800	0.493	0.903
BIRC3	PTGS2	9606.ENSP00000263464	9606.ENSP00000356438	0	0	0	0	0.076	0	0	0.416	0.437
BIRC3	UBE2I	9606.ENSP00000263464	9606.ENSP00000348056	0	0	0	0	0	0.298	0	0.261	0.459
BIRC3	ICAM1	9606.ENSP00000263464	9606.ENSP00000264832	0	0	0	0	0.156	0	0	0.421	0.490
BIRC3	CARD11	9606.ENSP00000263464	9606.ENSP00000380150	0	0	0	0	0.083	0	0	0.476	0.499
BIRC3	CXCL8	9606.ENSP00000263464	9606.ENSP00000306512	0	0	0	0	0.146	0	0	0.473	0.530
BIRC3	NFKB2	9606.ENSP00000263464	9606.ENSP00000358983	0	0	0	0	0.122	0.061	0	0.663	0.698
BIRC3	MALT1	9606.ENSP00000263464	9606.ENSP00000319279	0	0	0	0	0.063	0.328	0	0.789	0.855
BIRC3	MYD88	9606.ENSP00000263464	9606.ENSP00000401399	0	0	0	0	0.079	0.809	0	0.489	0.902
BIRC3	TICAM2	9606.ENSP00000263464	9606.ENSP00000415139	0	0	0	0	0	0	0.900	0.072	0.903
BIRC3	CD14	9606.ENSP00000263464	9606.ENSP00000304236	0	0	0	0	0.063	0	0.900	0.048	0.903
BIRC3	TNFRSF11A	9606.ENSP00000263464	9606.ENSP00000465500	0	0	0	0	0.057	0	0.900	0.056	0.903
BIRC3	LY96	9606.ENSP00000263464	9606.ENSP00000284818	0	0	0	0	0.088	0	0.900	0.083	0.909
BIRC3	TNFSF14	9606.ENSP00000263464	9606.ENSP00000469049	0	0	0	0	0.076	0	0.900	0.165	0.916
BIRC3	LTA	9606.ENSP00000263464	9606.ENSP00000403495	0	0	0	0	0.118	0	0.900	0.135	0.917
BIRC3	LTB	9606.ENSP00000263464	9606.ENSP00000410481	0	0	0	0	0.165	0	0.900	0.086	0.917
BIRC3	TNFSF11	9606.ENSP00000263464	9606.ENSP00000381775	0	0	0	0	0	0	0.900	0.212	0.917
BIRC3	TNFRSF13C	9606.ENSP00000263464	9606.ENSP00000291232	0	0	0	0	0.062	0	0.900	0.263	0.924
BIRC3	PIDD1	9606.ENSP00000263464	9606.ENSP00000337797	0	0	0	0	0.061	0.128	0.900	0.231	0.928
BIRC3	TAB3	9606.ENSP00000263464	9606.ENSP00000368215	0	0	0	0	0.061	0	0.900	0.354	0.934
BIRC3	TNFSF13B	9606.ENSP00000263464	9606.ENSP00000365048	0	0	0	0	0.087	0	0.900	0.360	0.936
BIRC3	CHUK	9606.ENSP00000263464	9606.ENSP00000359424	0	0	0	0	0.061	0.108	0.900	0.443	0.947
BIRC3	CD40LG	9606.ENSP00000263464	9606.ENSP00000359663	0	0	0	0	0.075	0.305	0.900	0.297	0.948
BIRC3	CYLD	9606.ENSP00000263464	9606.ENSP00000392025	0	0	0	0	0.088	0	0.900	0.525	0.952
BIRC3	TAB2	9606.ENSP00000263464	9606.ENSP00000356426	0	0	0	0	0.062	0.051	0.900	0.559	0.955
BIRC3	TRADD	9606.ENSP00000263464	9606.ENSP00000341268	0	0	0	0	0.069	0	0.900	0.627	0.962
BIRC3	MAP3K14	9606.ENSP00000263464	9606.ENSP00000482657	0	0	0	0	0.052	0.454	0.900	0.446	0.967
BIRC3	TNFAIP3	9606.ENSP00000263464	9606.ENSP00000481570	0	0	0	0	0.296	0.294	0.900	0.572	0.975
BIRC3	IKBKG	9606.ENSP00000263464	9606.ENSP00000483825	0	0	0	0	0	0.365	0.900	0.709	0.979
BIRC3	RELA	9606.ENSP00000263464	9606.ENSP00000384273	0	0	0	0	0	0.379	0.900	0.713	0.980
BIRC3	TNF	9606.ENSP00000263464	9606.ENSP00000398698	0	0	0	0	0.172	0.328	0.900	0.759	0.984
BIRC3	IKBKB	9606.ENSP00000263464	9606.ENSP00000430684	0	0	0	0	0.052	0.706	0.900	0.534	0.985
BIRC3	TLR4	9606.ENSP00000263464	9606.ENSP00000363089	0	0	0	0	0.074	0.809	0.900	0.322	0.986
BIRC3	MAP3K7	9606.ENSP00000263464	9606.ENSP00000358335	0	0	0	0	0.062	0.809	0.900	0.430	0.988
BIRC3	CD40	9606.ENSP00000263464	9606.ENSP00000361359	0	0	0	0	0.107	0.811	0.900	0.531	0.991
BIRC3	TRAF1	9606.ENSP00000263464	9606.ENSP00000362994	0	0	0	0	0.197	0.729	0.900	0.797	0.995
BIRC3	TRAF3	9606.ENSP00000263464	9606.ENSP00000454207	0	0	0	0	0	0.829	0.900	0.744	0.995
BLNK	CD40	9606.ENSP00000224337	9606.ENSP00000361359	0	0	0	0	0.078	0	0	0.399	0.422
BLNK	CARD11	9606.ENSP00000224337	9606.ENSP00000380150	0	0	0	0	0.098	0	0	0.480	0.511
BLNK	TNFRSF11A	9606.ENSP00000224337	9606.ENSP00000465500	0	0	0	0	0	0	0	0.527	0.527
BLNK	LCK	9606.ENSP00000224337	9606.ENSP00000337825	0	0	0	0	0.084	0.078	0.900	0.420	0.944
BLNK	LAT	9606.ENSP00000224337	9606.ENSP00000378845	0	0	0	0	0.062	0	0.900	0.528	0.951
BLNK	ZAP70	9606.ENSP00000224337	9606.ENSP00000264972	0	0	0	0	0.096	0.131	0.900	0.597	0.964
BLNK	PLCG1	9606.ENSP00000224337	9606.ENSP00000244007	0	0	0	0	0.064	0.465	0.900	0.386	0.965
BLNK	LYN	9606.ENSP00000224337	9606.ENSP00000428924	0	0	0	0	0.090	0.227	0.900	0.687	0.975
BLNK	PLCG2	9606.ENSP00000224337	9606.ENSP00000482457	0	0	0	0	0.087	0.472	0.900	0.677	0.982
BLNK	BTK	9606.ENSP00000224337	9606.ENSP00000483570	0	0	0	0	0.215	0.472	0.900	0.845	0.992
BLNK	SYK	9606.ENSP00000224337	9606.ENSP00000364907	0	0	0	0	0.179	0.446	0.900	0.949	0.997
BTK	PLCG1	9606.ENSP00000483570	9606.ENSP00000244007	0	0	0	0.546	0.063	0.472	0.900	0.397	0.955
BTK	TRAF2	9606.ENSP00000483570	9606.ENSP00000247668	0	0	0	0	0.059	0.102	0.800	0.121	0.831
BTK	TICAM1	9606.ENSP00000483570	9606.ENSP00000248244	0	0	0	0	0.066	0.267	0	0.206	0.408
BTK	PRKCQ	9606.ENSP00000483570	9606.ENSP00000263125	0	0	0	0.559	0.088	0.398	0	0.256	0.484
BTK	ZAP70	9606.ENSP00000483570	9606.ENSP00000264972	0	0	0	0.688	0.169	0.064	0.900	0.668	0.932
BTK	TNFRSF13C	9606.ENSP00000483570	9606.ENSP00000291232	0	0	0	0	0.077	0	0	0.446	0.467
BTK	PRKCB	9606.ENSP00000483570	9606.ENSP00000305355	0	0	0	0.565	0.195	0.399	0	0.421	0.583
BTK	MALT1	9606.ENSP00000483570	9606.ENSP00000319279	0.046	0	0	0	0.060	0.080	0	0.476	0.509
BTK	LCK	9606.ENSP00000483570	9606.ENSP00000337825	0	0	0	0.868	0.112	0	0.900	0.600	0.914
BTK	IRAK1	9606.ENSP00000483570	9606.ENSP00000358997	0	0	0	0.548	0	0.320	0	0.479	0.460
BTK	CHUK	9606.ENSP00000483570	9606.ENSP00000359424	0	0	0	0.548	0	0	0.800	0.251	0.819
BTK	CD40LG	9606.ENSP00000483570	9606.ENSP00000359663	0	0	0	0	0.095	0.072	0	0.557	0.595
BTK	CD40	9606.ENSP00000483570	9606.ENSP00000361359	0	0	0	0	0.098	0.267	0	0.550	0.677
BTK	TLR4	9606.ENSP00000483570	9606.ENSP00000363089	0	0	0	0	0.140	0.378	0	0.493	0.705
BTK	SYK	9606.ENSP00000483570	9606.ENSP00000364907	0	0	0	0.656	0.305	0.321	0.900	0.907	0.964
BTK	TNFSF13B	9606.ENSP00000483570	9606.ENSP00000365048	0	0	0	0	0.116	0	0	0.559	0.594
BTK	TIRAP	9606.ENSP00000483570	9606.ENSP00000376445	0	0	0	0	0	0.384	0	0.655	0.779
BTK	LAT	9606.ENSP00000483570	9606.ENSP00000378845	0	0	0	0	0.065	0.100	0.900	0.456	0.948
BTK	CXCL12	9606.ENSP00000483570	9606.ENSP00000379140	0	0	0	0	0	0	0	0.447	0.447
BTK	CARD11	9606.ENSP00000483570	9606.ENSP00000380150	0	0	0	0	0.144	0.133	0	0.591	0.670
BTK	RELA	9606.ENSP00000483570	9606.ENSP00000384273	0	0	0	0	0	0.379	0	0.316	0.557
BTK	TNF	9606.ENSP00000483570	9606.ENSP00000398698	0	0	0	0	0.175	0.050	0	0.437	0.520
BTK	MYD88	9606.ENSP00000483570	9606.ENSP00000401399	0	0	0	0	0.086	0.421	0	0.728	0.844
BTK	LYN	9606.ENSP00000483570	9606.ENSP00000428924	0	0	0	0.862	0.169	0.379	0.900	0.876	0.950
BTK	IKBKB	9606.ENSP00000483570	9606.ENSP00000430684	0	0	0	0.550	0	0	0.800	0.262	0.820
BTK	TRAF3	9606.ENSP00000483570	9606.ENSP00000454207	0	0	0	0	0.059	0.102	0.800	0.320	0.869
